formal,informal
اصن,اصلاً
کوچیک,کوچک
سری,مرتبه
دیگه,دیگر
اگه,اگر
اوه,عجب
واسه,برای
هی,ای
چیه,چیست
چی,چه-چیز
تموم,تمام
هیچی,هیچ‌ چیز
آروم,آرام
همدیگه,یکدیگر
جوری,طوری
راستش,حقیقتاً
چیزا,چیزها
کوچولو,کوچک
هیشکی,هیچ‌کس
یه عالمه,بسیار
بفرما,بفرمایید
گمون,گمان
اونور,آن‌ طرف
اینور,این طرف
اینورا,این طرف‌ها
اونورا,آن طرف‌ها
پیشت,نزدت
پیشم,نزدم
هیچکی,هیچ‌کس
مث,مثل
همچین,چنین
عمرا,هرگز
صبونه,صبحانه
صبحونه,صبحانه
اونقدری,آن‌قدر
اونقدرها,آن‌قدر
ازمون,از ما
ازتون,از شما
خونواده,خانواده
خیلیا,بسیاری
اصن,اصلاً
چنتا,چندتا
تیکه,تکه
خدایی,انصافاً
خداییش,انصافاً
بزرگا,بزرگ‌ها
کسای,کسایی
بدک,چندان بد
داغون,خراب
اولا,اوایل
انشاله,انشاالله
ماشاله,ماشاالله
ماشالا,ماشاالله
ماشالاه,ماشاالله
انشالا,انشاالله
انشالاه,انشاالله
یکم,کمی
خفن,درخشان
یخورده,کمی
یه خورده,کمی
توش,درش
توی,در
گول,فریب
همچی,چنین
همدیگه,یکدیگر
عین,مانند
فیک,تقلبی
به خاطر,به دلیل
قوی,نیرومند
اینهمه,این مقدار
کدوم,کدام
دنبال,درپی
نت,اینترنت
بعدش,بعد آن
دونه,دانه
مامان,مادر
داداش,برادر
آبجی,خواهر
بیشوخی,جدی
تخمی,زشت
اوضا,اوضاع
کسایی,کسانی
اونا,آن‌ها
اونا,آن‌ها
اونو,آن را
والا,والله
چیکار,چه‌کار
چکار,چه کار
چجور,چطور
خیلیا,بسیاری
چجوری,چطور
چه‌جور,چطور
بیخود,بی ارزش
بی خود,بی‌ارزش
شان,آنان
واست,برای تو
واسم,برای من
واسش,برای او - برای آن
واسمون,برای ما
واستون,برای شما
واسشون,برای آنان
ی,یک
ک,که
ب,به
یه,یک
رو,را - رو
چن,چند
مث,مثل
دوس,دوست
همون,همان
اون,آن - او
ان,هستند
جور,طور
باحال,جذاب
ازین,از این
ازون,از آن
چیکار,چه کار
انقد,اینقدر
انقدر,اینقدر
اینقد,اینقدر
اینقدر,اینقدر
مثه,مثل
الاف,معطل
علاف,معطل
اورجینال,اصل
ارجینال,اصل
نامبر,شماره
گشنه,گرسنه
گشن,گرسنه
گشنگی,گرسنگی
ممنون,سپاسگزار
مرسی,متشکر
گود,خوب
مچکر,سپاسگزار
اصن,اصلا
واقن,واقعا
اس,است
مگه,مگر
مال,متعلق به
آره,آری
آتیش,آتش
جیگر,جگر
ولش,رهایش
ولت,رهایت
ولم,رهایم
ولتون,رهایتان
ولتان,رهایتان
ولشون,رهایشان
ولشان,رهایشان
وگرنه,والا
دهن,دهان
برندارم,برندارم
برنمیدارم,برنمی‌دارم
برمیدارم,برمی‌دارم
برنداری,برنداری
برنمیداری,برنمی‌داری
برمیداری,برمی‌داری
برنداره,برندارد
برنمیداره,برنمی‌دارد
برمیداره,برمی‌دارد
برنداریم,برنداریم
برنمیداریم,برنمی‌داریم
برمیداریم,برمی‌داریم
برندارین,برندارید
برنمیدارین,برنمی‌دارید
برمیدارین,برمی‌دارید
برندارید,برندارید
برنمیدارید,برنمی‌دارید
برمیدارید,برمی‌دارید
برندارند,برندارند
برنمیدارند,برنمی‌دارند
برمیدارند,برمی‌دارند
برندار,برندار
برنمیدار,برنمی‌دار
برمیدار,برمی‌دار
برندارن,برندارند
